Village_Name,Latitude,Longitude,Elevation_m,Slope_deg,Aspect_deg,Roughness,Curvature,Rainfall_mm,Distance_to_River_km,Label,Point_Type,Rainfall_CHIRPS_mm,Distance_to_Road_km_REAL,Rainfall_3Day_Cumulative_mm,Rainfall_7Day_Cumulative_mm,NDVI_Vegetation
RandomPoint_4,18.299769,73.617412,684,3.84,194.8,3.17,-3.0,739.7444444444445,1.092,0,random_negative_sample,1202.645739555359,0.96,6.628662872314453,26.25190124511719,-0.6189274191856384
RandomPoint_5,17.440881,73.683899,205,19.82,188.2,12.42,1.0,739.7444444444445,1.391,0,random_negative_sample,1820.071985733509,1.326,16.74323425292969,38.3581485748291,0.6860137581825256
RandomPoint_6,18.611639,73.847209,581,6.14,232.88,2.18,1.0,739.7444444444445,1.715,0,random_negative_sample,814.0371952533721,0.46,0.0,28.206920051574706,0.3831913471221924
RandomPoint_7,18.914426,73.304892,94,1.35,133.41,2.29,0.0,2804.186324786325,0.891,0,random_negative_sample,2263.825462126732,0.851,24.114626693725587,105.49932441711424,0.3242073655128479
RandomPoint_8,18.694989,73.705589,706,31.46,305.66,24.64,-7.0,739.7444444444445,1.496,0,random_negative_sample,930.7668284773828,0.754,3.138780212402344,35.53065719604492,0.2988882958889007
RandomPoint_9,18.614257,73.894598,652,17.35,189.48,14.2,-4.0,739.7444444444445,3.255,0,random_negative_sample,659.5514241099357,1.349,0.0,20.015327835083006,0.3559323847293854
RandomPoint_10,18.072456,74.259674,541,3.48,122.24,2.26,3.0,739.7444444444445,0.089,0,random_negative_sample,681.0364443182946,2.495,7.372596073150635,14.251744556427004,0.2770355939865112
RandomPoint_11,17.757069,73.628061,673,5.24,69.27,5.16,5.0,739.7444444444445,0.389,0,random_negative_sample,1861.435951197148,0.876,17.383111190795898,36.802214813232425,0.622512698173523
RandomPoint_12,18.658809,73.72778,582,2.17,295.31,1.44,1.0,739.7444444444445,2.289,0,random_negative_sample,930.7668284773828,0.759,3.138780212402344,35.53065719604492,0.3546738922595978
RandomPoint_13,18.723414,73.666028,627,1.96,90.0,1.79,0.0,739.7444444444445,3.33,0,random_negative_sample,1122.309056764841,0.43,2.575571823120117,44.48428611755371,0.5580363869667053
RandomPoint_14,17.455797,73.234082,144,4.81,125.35,3.57,3.0,2804.186324786325,4.079,0,random_negative_sample,3086.525678485632,1.61,38.91710033416748,143.20611686706542,0.3857559561729431
RandomPoint_15,18.271369,73.347248,75,3.92,270.0,4.18,0.0,2804.186324786325,1.841,0,random_negative_sample,1838.4821855664247,1.959,19.721667098999024,77.48560218811035,0.495023101568222
RandomPoint_16,17.533956,74.204982,653,2.1,207.86,2.24,-3.0,739.7444444444445,2.046,0,random_negative_sample,583.7429763540625,3.391,9.436160850524905,16.41225643157959,0.5804030895233154
RandomPoint_17,18.296071,73.713697,675,2.1,332.14,1.43,1.0,739.7444444444445,2.158,0,random_negative_sample,989.9919323503972,2.81,13.217280864715576,28.83320207595825,0.3515743613243103
RandomPoint_18,17.342277,73.89369,746,25.83,320.4,22.17,-1.0,739.7444444444445,1.802,0,random_negative_sample,1324.681683537364,1.572,18.127635192871093,41.98771915435791,0.2872646749019623
RandomPoint_19,17.326805,73.369183,149,9.77,84.6,8.88,-9.0,2804.186324786325,1.654,0,random_negative_sample,2821.2476876676083,3.0,54.0517915725708,147.46249027252196,0.5088863372802734
RandomPoint_20,18.979047,73.76,640,0.0,270.0,0.0,0.0,739.7444444444445,4.161,0,random_negative_sample,1288.867672020197,1.837,6.067026901245117,49.431283950805664,-0.4771200120449066
RandomPoint_21,18.113899,73.826921,999,24.79,155.9,24.47,-7.0,739.7444444444445,2.385,0,random_negative_sample,1077.3668474525214,2.95,11.816976928710938,25.71726474761963,0.3924075663089752
RandomPoint_22,18.685704,73.964,574,6.06,139.78,2.61,1.0,739.7444444444445,2.984,0,random_negative_sample,564.5015603169799,1.544,6.317586708068848,23.279146575927733,0.4686059057712555
RandomPoint_23,17.630906,73.201611,131,12.47,291.51,6.79,5.0,2804.186324786325,3.38,0,random_negative_sample,3029.690356427431,1.56,50.27140502929687,172.8623670578003,0.6615796089172363
RandomPoint_24,17.421966,74.214365,666,2.95,340.59,1.8,4.0,739.7444444444445,5.68,0,random_negative_sample,594.4490892052651,1.95,6.835589027404785,15.881131362915038,0.4535653591156006
RandomPoint_25,18.752735,73.272017,80,4.34,64.69,1.8,4.0,2804.186324786325,1.09,0,random_negative_sample,2515.97421760559,1.247,0.0,100.6963508605957,0.4014314115047455
RandomPoint_26,18.310877,73.393448,744,24.22,193.22,15.78,1.0,2804.186324786325,2.021,0,random_negative_sample,1344.743477845192,4.476,5.745317840576172,34.28859672546387,0.8060545325279236
RandomPoint_27,18.829095,73.488278,655,4.05,133.41,3.36,-6.0,2804.186324786325,1.607,0,random_negative_sample,1898.180836379528,3.029,0.0,66.88649120330811,0.4298034012317657
RandomPoint_28,17.52976,73.169941,129,11.62,270.0,6.71,-2.0,2804.186324786325,2.49,0,random_negative_sample,3051.073338735104,2.177,51.67921142578125,133.07192993164062,0.4146740436553955
RandomPoint_29,18.122736,73.194112,267,13.96,74.88,9.38,-6.0,2804.186324786325,4.481,0,random_negative_sample,2497.882389509678,2.581,27.54864387512207,132.74084396362304,0.6614437103271484
RandomPoint_30,18.169172,74.146734,620,3.48,237.76,2.24,1.0,739.7444444444445,1.26,0,random_negative_sample,589.6136843830348,0.933,8.190901947021484,14.878918552398682,0.1307126879692077
RandomPoint_31,17.798801,73.128981,198,7.86,263.26,3.73,-5.0,2804.186324786325,2.065,0,random_negative_sample,2884.910282230377,2.419,60.217367553710936,203.9525939941406,0.3929017782211303
RandomPoint_32,18.995075,73.564289,1076,8.8,199.41,10.87,-8.0,739.7444444444445,2.075,0,random_negative_sample,1553.3851267457007,2.348,2.7207762718200685,63.22655153274536,0.3480331897735595
RandomPoint_33,17.219298,73.741169,709,26.88,134.74,22.08,-1.0,739.7444444444445,2.315,0,random_negative_sample,1782.7282819509503,10.832,19.813868713378906,68.01673622131348,0.7452290654182434
RandomPoint_34,18.584159,73.43324,656,17.37,291.28,13.83,0.0,2804.186324786325,4.211,0,random_negative_sample,1544.006528699398,0.238,1.5992103576660155,61.59852523803711,0.6324933171272278
RandomPoint_35,17.127055,73.372429,178,14.92,236.78,8.72,-6.0,2804.186324786325,3.848,0,random_negative_sample,2976.6481113761665,1.449,61.70859603881836,196.81740493774413,0.63225257396698
RandomPoint_36,18.992243,73.593672,875,0.0,270.0,2.51,2.0,739.7444444444445,2.253,0,random_negative_sample,1553.3851267457007,3.364,2.7207762718200685,63.22655153274536,0.4177127182483673
RandomPoint_37,18.942157,74.09117,655,2.17,295.31,1.26,-1.0,739.7444444444445,3.317,0,random_negative_sample,761.4359578549862,1.515,3.5274105072021484,21.398338317871094,0.447424829006195
RandomPoint_38,17.022962,73.881083,761,3.48,237.76,1.71,5.0,739.7444444444445,2.565,0,random_negative_sample,1559.9227805912494,3.707,36.45811767578125,82.12093925476074,0.3529072701931
RandomPoint_39,18.363421,73.605455,749,6.73,313.41,6.92,-12.0,739.7444444444445,2.391,0,random_negative_sample,1167.0315620422364,1.598,6.9256103515625,33.94744033813477,0.2662223875522613
RandomPoint_40,17.53365,73.761443,703,4.81,305.35,7.95,7.0,739.7444444444445,4.634,0,random_negative_sample,1802.682431286573,7.962,22.594033432006835,58.45756492614746,0.7897297739982605
RandomPoint_41,17.223104,73.452148,37,16.38,6.7,8.85,-6.0,2804.186324786325,2.957,0,random_negative_sample,2700.634594023228,1.974,34.56052837371826,131.98707370758058,0.4476447999477386
RandomPoint_42,17.907447,74.230724,699,1.86,0.0,1.58,0.0,739.7444444444445,3.111,0,random_negative_sample,564.8488430917263,3.283,7.457720565795898,11.0581485748291,0.3812992870807647
RandomPoint_43,18.751706,73.195084,97,8.82,84.0,4.99,-4.0,2804.186324786325,1.598,0,random_negative_sample,2550.5843558073043,3.175,17.00710277557373,129.91798229217528,0.4051919281482696
RandomPoint_44,18.001172,73.067978,164,25.69,55.04,13.93,-2.0,2804.186324786325,1.268,0,random_negative_sample,2685.8063628554346,1.533,61.92905941009521,168.12683391571045,0.6974856853485107
RandomPoint_45,18.825256,74.105778,698,5.64,9.99,4.54,1.0,739.7444444444445,7.125,0,random_negative_sample,617.6626199826599,4.335,0.0,12.622832775115969,0.3920725286006927
RandomPoint_46,17.59689,73.758424,642,0.0,270.0,1.81,0.0,739.7444444444445,7.063,0,random_negative_sample,1752.18620595932,8.314,19.49919261932373,47.32293949127197,-0.2218437194824218
RandomPoint_47,18.21794,73.029259,205,8.06,313.41,8.01,0.0,2804.186324786325,1.649,0,random_negative_sample,2603.422482299805,3.098,21.278862762451173,126.68750534057617,0.5177667737007141
RandomPoint_48,18.525022,73.609069,569,2.95,19.41,2.42,4.0,739.7444444444445,0.211,0,random_negative_sample,1138.8215574085712,3.359,0.0,26.10970115661621,0.5276604890823364
RandomPoint_49,18.557253,73.595531,589,2.95,199.41,1.83,2.0,739.7444444444445,1.549,0,random_negative_sample,1191.4500820994376,2.982,0.0,34.81225738525391,0.280944287776947
RandomPoint_50,17.001144,73.286234,5,3.41,35.17,2.2,1.0,2804.186324786325,5.361,0,random_negative_sample,3087.113459482789,3.477,56.19621009826661,176.33984489440917,0.3927169144153595
RandomPoint_51,17.038953,74.193648,606,0.0,270.0,0.79,0.0,739.7444444444445,0.623,0,random_negative_sample,795.0672987371684,2.83,18.05529060363769,39.71530284881592,0.4369285404682159
RandomPoint_52,18.757444,74.047498,645,4.03,76.69,2.31,-1.0,739.7444444444445,2.753,0,random_negative_sample,661.9086907550693,3.182,0.0,17.448824310302733,0.2475030571222305
RandomPoint_53,18.756019,74.220424,607,0.98,270.0,1.2,1.0,739.7444444444445,2.093,0,random_negative_sample,522.7531876772642,1.429,2.4719623565673827,10.593284559249875,0.2508143782615661
RandomPoint_54,17.171307,73.528986,11,9.73,90.0,6.74,0.0,2804.186324786325,2.289,0,random_negative_sample,2586.2404697299003,2.004,43.288400650024414,155.01309299468994,0.6801797151565552
RandomPoint_55,17.138425,73.940903,940,0.98,270.0,2.16,-5.0,739.7444444444445,1.399,0,random_negative_sample,1240.8598018527032,0.532,20.642919921875,48.19613695144653,0.3275573551654815
RandomPoint_56,18.531669,72.992587,84,1.35,313.41,1.71,2.0,2804.186324786325,1.89,0,random_negative_sample,2824.4516140937803,0.318,43.29200744628906,158.03767623901368,0.3410865366458893
RandomPoint_57,17.950565,73.624705,795,10.12,144.83,7.85,3.0,739.7444444444445,1.461,0,random_negative_sample,1544.1866675674914,1.702,7.753135681152344,31.147534942626955,0.3387218415737152
RandomPoint_58,17.530113,74.10865,639,0.93,180.0,1.41,-3.0,739.7444444444445,2.571,0,random_negative_sample,787.9111692503095,1.699,8.66034164428711,19.411729049682616,0.4533537328243255
RandomPoint_59,17.846276,73.117697,172,17.05,133.41,10.32,2.0,2804.186324786325,3.243,0,random_negative_sample,2905.2056725144384,1.998,46.704193115234375,200.73481292724608,0.7516642808914185
RandomPoint_60,18.078592,73.894897,757,5.24,110.73,2.61,3.0,739.7444444444445,3.5,0,random_negative_sample,899.1267138332129,0.543,6.667510986328125,16.125431728363036,0.318158745765686
RandomPoint_61,17.402302,73.267574,139,5.94,81.04,4.32,1.0,2804.186324786325,2.478,0,random_negative_sample,2923.3573213994505,2.26,35.522616958618165,130.9504837036133,0.460521936416626
RandomPoint_62,18.990299,73.774817,684,2.1,27.86,3.68,-3.0,739.7444444444445,4.109,0,random_negative_sample,1288.867672020197,2.449,6.067026901245117,49.431283950805664,0.3938831388950348
RandomPoint_63,17.8762,73.576364,995,36.96,232.88,40.3,-9.0,739.7444444444445,1.215,0,random_negative_sample,1941.5245691537857,4.92,23.108596420288087,44.52084655761719,0.2345121353864669
RandomPoint_64,17.676171,73.682463,758,36.62,200.24,42.11,6.0,739.7444444444445,2.99,0,random_negative_sample,1651.8242735624312,4.481,14.329482460021971,47.42661952972412,0.514458954334259
RandomPoint_65,17.141986,73.746654,818,10.83,260.24,8.26,5.0,739.7444444444445,4.758,0,random_negative_sample,1764.2791438221932,8.923,18.900187683105468,88.03664932250976,0.4995531439781189
RandomPoint_66,17.457884,74.15813,631,0.93,180.0,1.24,-1.0,739.7444444444445,6.597,0,random_negative_sample,660.7702929243445,2.616,6.736401557922363,14.422303676605225,0.5036458373069763
RandomPoint_67,18.719271,72.906286,17,2.94,90.0,1.21,-1.0,2804.186324786325,0.81,0,random_negative_sample,2725.776556253433,0.627,24.81109485626221,146.5491174697876,0.3656251728534698
RandomPoint_68,17.476009,73.803467,682,13.9,223.86,6.89,-1.0,739.7444444444445,4.327,0,random_negative_sample,1458.399018484354,3.518,21.685131072998047,39.60157070159912,0.7369970679283142
RandomPoint_69,18.871028,73.656565,681,5.48,147.61,3.07,-4.0,739.7444444444445,1.402,0,random_negative_sample,1248.0954313635823,0.766,5.76008186340332,46.83865852355957,0.2668139636516571
RandomPoint_70,17.945342,73.976929,747,3.41,324.83,1.79,-1.0,739.7444444444445,1.225,0,random_negative_sample,834.1795944958925,0.233,8.01973876953125,13.186536026000976,0.1702153384685516
RandomPoint_71,18.614994,73.085615,2,1.86,180.0,0.86,2.0,2804.186324786325,1.851,0,random_negative_sample,2596.421472287178,1.186,12.13149471282959,135.41022548675537,0.4127448797225952
RandomPoint_72,17.193862,73.446577,3,0.0,270.0,1.42,0.0,2804.186324786325,3.582,0,random_negative_sample,2847.238131886721,2.631,47.15070323944092,177.49041843414307,-0.3289941847324371
RandomPoint_73,17.847157,73.500537,812,37.74,65.23,26.82,5.0,2804.186324786325,2.968,0,random_negative_sample,2140.4021312355994,3.189,25.047764205932616,52.57361688613892,0.8695237636566162
RandomPoint_74,18.458152,73.810047,576,0.93,180.0,1.51,-1.0,739.7444444444445,1.513,0,random_negative_sample,793.2844284713268,0.34,13.872488021850586,27.05615921020508,0.2158657312393188
RandomPoint_75,17.805243,73.308954,120,2.79,180.0,2.08,3.0,2804.186324786325,3.086,0,random_negative_sample,2756.792869138718,1.997,39.16438293457031,181.02783012390137,0.3600624203681946
RandomPoint_76,18.723345,73.172985,40,2.1,207.86,1.02,-1.0,2804.186324786325,1.194,0,random_negative_sample,2478.13331964016,0.558,15.235832405090331,125.05231838226318,0.3767435252666473
RandomPoint_77,17.380418,73.47292,107,1.35,46.59,1.72,2.0,2804.186324786325,3.593,0,random_negative_sample,2681.166027891636,0.956,34.95295181274414,136.49946327209472,0.3391618132591247
RandomPoint_78,17.843763,73.217818,191,17.15,90.0,9.49,-12.0,2804.186324786325,1.86,0,random_negative_sample,3003.3684923291207,0.939,51.95052337646485,207.11235961914065,0.646285891532898
RandomPoint_79,17.499613,74.184898,684,4.74,11.94,3.62,0.0,739.7444444444445,5.065,0,random_negative_sample,660.7702929243445,2.039,6.736401557922363,14.422303676605225,0.3518259525299072
RandomPoint_80,17.886261,74.092024,791,0.0,270.0,1.15,0.0,739.7444444444445,1.695,0,random_negative_sample,905.5949353784324,2.472,14.723016738891602,22.200071334838867,0.4730214774608612
RandomPoint_81,18.998565,74.054041,614,2.17,64.69,1.87,1.0,739.7444444444445,2.913,0,random_negative_sample,860.1145568579435,1.666,3.646816253662109,23.651424598693847,0.721137285232544
RandomPoint_82,18.937993,74.18955,580,0.98,270.0,1.07,-1.0,739.7444444444445,1.351,0,random_negative_sample,629.2241892486811,2.224,2.591658020019531,16.602495193481445,0.0057306005619466
RandomPoint_83,18.697391,73.049467,4,0.93,180.0,0.93,-1.0,2804.186324786325,0.604,0,random_negative_sample,2639.894720196724,0.742,33.99968643188477,153.1070243835449,0.3550173938274383
RandomPoint_84,17.971282,73.120621,41,7.55,31.14,6.88,1.0,2804.186324786325,3.642,0,random_negative_sample,2755.43527854681,0.608,46.41823482513428,164.73333377838134,0.5625055432319641
RandomPoint_85,17.757946,74.277963,886,8.77,270.0,4.46,1.0,739.7444444444445,2.641,0,random_negative_sample,791.8258603006601,3.283,9.713506317138672,20.69101905822754,0.2586128115653991
RandomPoint_86,17.530406,73.976106,727,15.09,252.5,8.24,-6.0,739.7444444444445,3.344,0,random_negative_sample,810.2427659898997,1.594,8.162117004394531,29.683185863494877,0.2511208951473236
RandomPoint_87,17.910017,73.434511,298,26.23,60.42,20.23,-8.0,2804.186324786325,3.511,0,random_negative_sample,2265.525845396519,3.794,48.58272380828858,105.66818294525146,0.7960768342018127
RandomPoint_88,18.914635,74.293134,582,2.17,115.31,0.97,-1.0,739.7444444444445,1.235,0,random_negative_sample,694.2810823529959,0.741,2.395289421081543,17.935421562194826,0.2657020688056946
RandomPoint_89,18.111537,73.877612,720,4.34,115.31,2.61,-2.0,739.7444444444445,2.608,0,random_negative_sample,898.0642218321561,0.809,8.57976999282837,19.761905574798583,0.2244429290294647
RandomPoint_90,17.309594,73.245062,48,15.53,172.91,13.04,1.0,2804.186324786325,2.239,0,random_negative_sample,3124.2983415097,0.136,36.50725917816162,131.54699172973633,0.7303769588470459
RandomPoint_91,18.937419,73.66877,1055,13.9,43.86,9.52,-1.0,739.7444444444445,1.281,0,random_negative_sample,1210.275122189522,2.899,4.604543685913086,34.86766395568848,0.7709546089172363
RandomPoint_92,18.08439,73.921963,697,2.1,332.14,1.56,-3.0,739.7444444444445,1.374,0,random_negative_sample,842.5953805655241,0.879,9.097240447998049,15.355892181396484,0.37934011220932
RandomPoint_93,17.114331,73.676266,430,31.6,228.79,23.36,-18.0,739.7444444444445,1.881,0,random_negative_sample,2028.7666913986209,3.179,23.60279235839844,127.62765445709228,0.6020397543907166
RandomPoint_94,18.005701,74.07908,762,15.86,346.03,8.64,-13.0,739.7444444444445,4.789,0,random_negative_sample,768.636887934804,3.198,6.5624244689941404,16.981266212463378,0.172413632273674
RandomPoint_95,17.314865,74.241168,685,15.7,113.82,14.08,4.0,739.7444444444445,6.514,0,random_negative_sample,638.9413788318634,2.786,8.203693199157716,13.692352485656738,0.2983182966709137
RandomPoint_96,18.19007,73.812819,636,5.94,81.04,4.35,-1.0,739.7444444444445,3.63,0,random_negative_sample,1056.4905308306218,0.919,11.359893035888671,25.35829391479492,0.3892512917518616
RandomPoint_97,18.780575,73.169323,33,3.41,144.83,1.52,1.0,2804.186324786325,0.655,0,random_negative_sample,2550.5843558073043,4.903,17.00710277557373,129.91798229217528,0.499610424041748
RandomPoint_98,18.189038,73.729072,638,9.73,90.0,5.76,0.0,739.7444444444445,5.868,0,random_negative_sample,1034.4038266420364,1.74,7.39488525390625,25.534019470214844,0.6945217251777649
RandomPoint_99,17.83845,73.675508,1057,15.37,249.27,13.36,-15.0,739.7444444444445,3.623,0,random_negative_sample,1654.9051717042923,0.538,13.236349487304688,46.86695232391357,0.6504559516906738
RandomPoint_100,18.045565,74.202059,579,3.09,107.5,3.45,0.0,739.7444444444445,1.303,0,random_negative_sample,546.4005433768034,1.043,7.707088470458984,11.390447998046875,0.1594141870737075
RandomPoint_101,17.408518,73.874288,682,23.17,198.69,16.27,9.0,739.7444444444445,3.473,0,random_negative_sample,1234.340777245164,0.511,18.53531837463379,50.62702350616455,0.2770099937915802
RandomPoint_102,17.477372,73.393679,169,1.96,90.0,1.16,0.0,2804.186324786325,6.154,0,random_negative_sample,2802.7542587161065,1.678,39.03755321502685,137.35080108642578,0.2734639942646026
RandomPoint_103,18.34338,73.249996,68,3.09,107.5,1.94,-2.0,2804.186324786325,3.717,0,random_negative_sample,2096.061566448212,1.813,26.251000785827635,98.30893306732176,0.5034664273262024
RandomPoint_104,17.632354,73.927797,709,2.1,332.14,3.27,1.0,739.7444444444445,2.506,0,random_negative_sample,1004.864198821783,2.003,10.237067413330076,26.195694732666016,0.2311668694019317
RandomPoint_105,17.145086,73.487428,77,4.03,103.31,5.62,5.0,2804.186324786325,3.041,0,random_negative_sample,2777.883938074112,1.399,31.95671901702881,152.50342998504638,0.6256681084632874
RandomPoint_106,18.996909,74.294145,640,2.1,207.86,0.93,-3.0,739.7444444444445,4.875,0,random_negative_sample,706.9533375546337,1.363,5.767448806762696,19.60438632965088,0.6171493530273438
RandomPoint_107,17.530401,74.199889,650,1.86,180.0,1.52,-2.0,739.7444444444445,2.603,0,random_negative_sample,697.3737856164574,2.895,11.56270236968994,19.670589637756347,0.6197543740272522
RandomPoint_108,18.761728,74.118905,613,2.17,244.69,1.25,3.0,739.7444444444445,3.259,0,random_negative_sample,574.7233691930771,2.029,3.605635452270508,15.265102672576903,0.5486875772476196
RandomPoint_109,18.66749,73.85531,596,4.03,103.31,2.99,1.0,739.7444444444445,0.873,0,random_negative_sample,702.7100524067879,1.273,2.0954193115234374,29.97203197479248,0.0818574428558349
RandomPoint_110,18.223356,74.28085,611,0.0,270.0,1.22,0.0,739.7444444444445,1.127,0,random_negative_sample,588.9927979230881,1.928,11.465641212463378,16.5660062789917,0.3471069037914276
RandomPoint_111,18.634208,73.249068,130,16.91,57.76,13.17,3.0,2804.186324786325,2.705,0,random_negative_sample,2241.685476112366,4.656,12.823803329467774,89.94794731140136,0.4193952679634094
RandomPoint_112,18.326777,74.208395,674,1.96,90.0,1.29,0.0,739.7444444444445,2.771,0,random_negative_sample,502.0227027326822,0.888,5.675001525878907,12.291672420501708,0.311502993106842
RandomPoint_113,17.214072,73.629835,60,13.07,106.23,9.12,-5.0,739.7444444444445,1.633,0,random_negative_sample,2255.3096603572367,0.522,24.64702377319336,130.6803409576416,0.4174647331237793
RandomPoint_114,17.544696,73.707245,204,22.86,180.0,18.4,6.0,739.7444444444445,1.3,0,random_negative_sample,1540.2796261131764,3.046,19.05381488800049,38.11825752258301,0.772642195224762
RandomPoint_115,18.435224,73.105396,13,7.1,24.37,6.31,4.0,2804.186324786325,2.632,0,random_negative_sample,2306.487754678726,0.903,40.43569278717041,133.05210208892822,0.4022504091262817
RandomPoint_116,18.268476,73.195976,145,4.05,46.59,3.15,-4.0,2804.186324786325,3.914,0,random_negative_sample,2313.435683000088,3.112,30.305303955078124,99.04103088378906,0.3907395005226135
RandomPoint_117,17.977064,74.158005,649,4.03,283.31,1.72,3.0,739.7444444444445,3.246,0,random_negative_sample,628.8092827141285,3.76,9.747012710571289,13.934381103515625,0.3603391051292419
RandomPoint_118,18.692207,72.938448,83,8.36,353.3,8.2,0.0,2804.186324786325,5.278,0,random_negative_sample,2661.0141141176223,1.497,28.14216709136963,130.7186502456665,0.6095221042633057
RandomPoint_119,17.847152,73.21502,169,12.0,23.77,8.82,7.0,2804.186324786325,2.338,0,random_negative_sample,3003.3684923291207,1.276,51.95052337646485,207.11235961914065,0.7234196066856384
RandomPoint_120,17.007091,73.956679,597,7.46,51.75,5.58,-3.0,739.7444444444445,2.106,0,random_negative_sample,1110.2082494556903,1.506,21.85950927734375,59.42297401428223,0.3119688034057617
RandomPoint_121,18.274227,73.192933,136,5.03,22.92,5.08,5.0,2804.186324786325,3.709,0,random_negative_sample,2313.435683000088,2.41,30.305303955078124,99.04103088378906,0.2770344316959381
RandomPoint_122,18.482462,73.627521,746,11.66,85.49,11.29,1.0,739.7444444444445,4.081,0,random_negative_sample,1118.416298747063,1.777,0.0,28.67344436645508,0.354617714881897
RandomPoint_123,17.150488,74.12466,644,6.06,40.22,2.85,-5.0,739.7444444444445,2.574,0,random_negative_sample,924.1793420135976,2.84,20.46441802978516,29.491279220581056,0.2626775503158569
RandomPoint_124,18.807857,73.618385,634,3.48,57.76,3.86,-1.0,739.7444444444445,1.109,0,random_negative_sample,1407.6362889170646,2.677,0.0,54.5699966430664,0.2906841039657593
RandomPoint_125,18.66919,73.673764,591,1.35,226.59,1.3,4.0,739.7444444444445,1.973,0,random_negative_sample,1084.985562479496,0.914,3.64472770690918,43.457475662231445,0.475936084985733
